Smoke,Exer
Heavy,Freq
Heavy,Freq
Heavy,Freq
Heavy,Freq
Heavy,Freq
Heavy,Freq
Heavy,Freq
Heavy,None
Heavy,Some
Heavy,Some
Heavy,Some
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,Freq
Never,None
Never,None
Never,None
Never,None
Never,None
Never,None
Never,None
Never,None
Never,None
Never,None
Never,None
Never,None
Never,None
Never,None
Never,None
Never,None
Never,None
Never,None
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Never,Some
Occas,Freq
Occas,Freq
Occas,Freq
Occas,Freq
Occas,Freq
Occas,Freq
Occas,Freq
Occas,Freq
Occas,Freq
Occas,Freq
Occas,Freq
Occas,Freq
Occas,None
Occas,None
Occas,None
Occas,Some
Occas,Some
Occas,Some
Occas,Some
Regul,Freq
Regul,Freq
Regul,Freq
Regul,Freq
Regul,Freq
Regul,Freq
Regul,Freq
Regul,Freq
Regul,Freq
Regul,None
Regul,Some
Regul,Some
Regul,Some
Regul,Some
Regul,Some
Regul,Some
Regul,Some
